total_words;total_sentences;total_syllables;complex_words;letter_count;common_words;total_different_words;different_advanced_words;flesch_reading_ease;flesch_kinkaid;gunning_fog;coleman_liau;smog_grade;automated_readibility_index;lexical_density;beyond_2000;advanced_ttr;advanced_guiraud;ttr;rttr;cttr;m;h;s;u;mwf;r;bigram_model;bigram_perplexety;a1_words;a2_words;b1_words;b2_words;c1_words;c2_words;bigram_model_reverse;bigram_perplexety_reverse;words_per_sentence;sentences_per_paragraph;simple_errors_per_word;complex_errors_per_word;level
57;3;81;8;244;54;45;20;67.32895;3.62;7.6;7.8126307;12.457975;6.91;49.122807017543856;0.94736844;0.3508772;2.6490648;0.7894737;5.960396;4.2146363;0.014461334;0.9415321;0.95687413;69.14991;1.2666667;5.960396;2.1449504;2.1449504;39.0;36.0;23.0;19.0;8.0;8.0;1.7889482;1.7889482;19.0;3.0;0.0;0.0;2
93;6;131;8;397;84;62;39;71.93476;2.06;6.0;7.3909693;9.725611;4.91;52.68817204301075;0.9032258;0.41935483;4.0441117;0.6666667;6.4291005;4.5460606;0.019735985;0.9105447;0.9379921;50.66887;1.5;6.4291005;4.332683;4.332683;54.0;60.0;32.0;31.0;18.0;6.0;3.6242564;3.6242564;15.5;3.0;1.0;0.0;2
56;4;84;8;257;48;49;26;65.725;1.67;5.6;9.070715;10.934197;4.41;55.35714285714286;0.85714287;0.4642857;3.4743962;0.875;6.5479;4.630065;0.0082409205;0.9668274;0.97577554;121.34567;1.1428572;6.5479;2.3040855;2.3040855;39.0;34.0;20.0;8.0;9.0;4.0;1.511097;1.511097;14.0;2.0;4.0;0.0;2
41;3;61;5;169;32;39;23;67.09504;1.28;5.2000003;6.2712183;10.504224;3.91;36.58536585365854;0.7804878;0.5609756;3.5919964;0.9512195;6.090777;4.3068295;0.003626409;0.98653305;0.9896658;275.75488;1.051282;6.090777;0.94525373;0.94525373;26.0;24.0;14.0;13.0;7.0;7.0;1.7307676;1.7307676;13.666667;3.0;0.0;0.0;2
41;4;54;3;163;29;30;20;85.00686;0.11;4.0;4.688781;7.908726;-2.3;46.34146341463415;0.70731705;0.4878049;3.1234753;0.73170733;4.685213;3.3129458;0.022651248;0.91588295;0.93302816;44.14768;1.3666667;4.685213;1.2049224;1.2049224;19.0;20.0;13.0;13.0;7.0;7.0;2.6296418;2.6296418;10.25;2.0;1.0;0.0;2
117;6;151;4;462;101;84;42;77.85789;3.62;7.6;5.9005127;7.7935376;2.2;51.28205128205128;0.8632479;0.35897437;3.8829014;0.71794873;7.765803;5.491252;0.014611198;0.9304189;0.9537899;68.44066;1.3928572;7.765803;3.6628296;3.6628296;75.0;76.0;45.0;32.0;15.0;21.0;4.120659;4.120659;19.5;3.0;2.0;0.0;2
34;1;49;3;151;31;30;15;50.401474;9.47;13.6;9.443529;13.023867;14.41;44.11764705882353;0.9117647;0.44117647;2.5724788;0.88235295;5.1449575;3.6380343;0.010065215;0.96450645;0.9713245;99.35208;1.1333333;5.1449575;1.5838759;1.5838759;25.0;24.0;11.0;10.0;9.0;2.0;1.5808994;1.5808994;34.0;1.0;0.0;1.0;2
39;3;58;5;175;36;36;19;67.824615;1.28;5.2000003;8.307691;10.504224;3.91;48.717948717948715;0.9230769;0.4871795;3.042435;0.9230769;5.7646136;4.076197;0.005963686;0.9781517;0.9829868;167.68153;1.0833334;5.7646136;1.271536;1.271536;27.0;28.0;13.0;13.0;9.0;6.0;1.6173687;1.6173687;13.0;3.0;0.0;0.0;2
90;4;129;9;370;78;67;41;62.737503;4.79;8.8;7.057778;11.407656;8.41;48.888888888888886;0.8666667;0.45555556;4.3217793;0.74444443;7.06242;4.993885;0.014574914;0.93441564;0.9548987;68.61104;1.3432835;7.06242;4.996733;4.996733;59.0;60.0;39.0;34.0;26.0;14.0;5.3464766;5.3464766;22.5;4.0;1.0;0.0;2
43;3;56;3;163;35;37;25;82.109924;1.67;5.6;4.4241858;8.841846;-0.3;51.162790697674424;0.81395346;0.5813953;3.8124642;0.8604651;5.642447;3.9898126;0.010623183;0.9600441;0.9692195;94.13374;1.1621622;5.642447;1.3094625;1.3094625;27.0;23.0;16.0;13.0;9.0;4.0;1.9324558;1.9324558;14.333333;3.0;1.0;0.0;2
57;6;82;8;236;43;42;28;75.487236;-0.28;3.6000001;5.4294744;9.725611;1.91;47.368421052631575;0.75438595;0.49122807;3.7086906;0.7368421;5.563036;3.9336605;0.018682046;0.9244675;0.94378144;53.52733;1.3571428;5.563036;1.3211063;1.3211063;35.0;33.0;18.0;14.0;7.0;6.0;2.0739493;2.0739493;9.5;3.0;1.0;0.0;2
67;4;91;6;293;55;49;28;74.92927;2.45;6.4;8.146865;9.888513;5.41;53.73134328358209;0.8208955;0.41791046;3.4207444;0.73134327;5.986303;4.2329555;0.017696958;0.92558974;0.9461606;56.506886;1.3673469;5.986303;3.2234647;3.2234647;35.0;35.0;24.0;16.0;16.0;6.0;2.5227537;2.5227537;16.75;1.3333334;0.0;0.0;2
28;2;37;1;104;25;23;11;80.832146;1.67;5.6;3.9257133;7.1686215;-0.3;57.14285714285714;0.89285713;0.39285713;2.0788045;0.8214286;4.3465915;3.0735042;0.017715923;0.9409669;0.94944704;56.446396;1.2173913;4.3465915;2.1160245;2.1160245;20.0;16.0;7.0;7.0;5.0;4.0;1.1195328;1.1195328;14.0;2.0;0.0;0.0;2
28;2;39;2;110;22;26;17;74.78928;1.67;5.6;5.1857142;8.841846;-0.3;53.57142857142857;0.78571427;0.60714287;3.212698;0.9285714;4.913538;3.4743962;0.006674237;0.9777601;0.9813141;149.82986;1.0769231;4.913538;0.41395837;0.41395837;13.0;18.0;9.0;5.0;4.0;6.0;0.39836687;0.39836687;14.0;2.0;1.0;0.0;2
63;4;80;7;236;49;48;33;83.42017;2.06;6.0;4.347302;10.4301;0.2;52.38095238095239;0.7777778;0.52380955;4.157609;0.7619048;6.0474315;4.27618;0.015841816;0.9343652;0.95224047;63.12408;1.3125;6.0474315;2.1448886;2.1448886;36.0;35.0;21.0;15.0;9.0;10.0;2.2083247;2.2083247;15.75;4.0;0.0;2.0;2
81;4;115;8;345;58;54;36;66.17014;4.01;8.0;7.7827168;10.934197;7.41;51.85185185185185;0.7160494;0.44444445;4.0;0.6666667;6.0;4.2426405;0.020996388;0.9077324;0.9346059;47.62724;1.5;6.0;2.4992566;2.4992566;42.0;44.0;30.0;19.0;11.0;16.0;2.4256225;2.4256225;20.25;2.0;0.0;0.0;2
70;3;104;7;344;48;58;41;57.460236;5.18;9.2;11.827428;11.855464;8.91;57.14285714285714;0.6857143;0.5857143;4.9004374;0.82857144;6.932326;4.9018946;0.010418572;0.95573676;0.96870327;95.98244;1.2068965;6.932326;1.8057519;1.8057519;40.0;35.0;29.0;18.0;13.0;5.0;2.0823555;2.0823555;23.333334;3.0;4.0;1.0;2
86;4;126;14;380;65;59;39;61.063663;4.4;8.400001;8.804651;13.454273;7.91;53.48837209302325;0.75581396;0.45348838;4.205478;0.68604654;6.3621335;4.498708;0.018991275;0.9154063;0.94083375;52.65576;1.4576272;6.3621335;2.7905893;2.7905893;45.0;48.0;24.0;26.0;12.0;10.0;2.1783464;2.1783464;21.5;2.0;0.0;0.0;2
69;3;92;7;285;55;56;34;70.689995;5.18;9.2;7.200001;11.855464;8.91;43.47826086956522;0.79710144;0.49275362;4.093119;0.8115942;6.7416077;4.7670364;0.011644288;0.9506968;0.96496606;85.87901;1.2321428;6.7416077;2.3698027;2.3698027;39.0;37.0;27.0;16.0;8.0;11.0;2.1511226;2.1511226;23.0;3.0;0.0;0.0;2
59;3;93;8;280;46;48;28;53.520794;3.62;7.6;10.600001;12.457975;6.91;45.76271186440678;0.779661;0.47457626;3.6452894;0.8135593;6.249068;4.4187584;0.012410235;0.9493968;0.9630532;80.57865;1.2291666;6.249068;2.1320221;2.1320221;35.0;35.0;25.0;14.0;11.0;5.0;2.7285395;2.7285395;19.666666;1.5;0.0;0.0;2
