total_words;total_sentences;total_syllables;complex_words;letter_count;common_words;total_different_words;different_advanced_words;advanced_ttr;advanced_guiraud;ttr;rttr;cttr;h;s;mwf;r;bigram_perplexety;a1_words;a2_words;b1_words;b2_words;c1_words;c2_words;bigram_perplexety_reverse;simple_errors_per_word;complex_errors_per_word;level
-1.199727742;-1.107684252;-1.148950878;-0.965798584;-1.16444492;-1.182293514;-1.258870924;-1.189745188;2.217809989;-1.202796727;2.553393761;-1.330823446;-1.330823446;2.889455244;3.286198705;-1.879928605;-1.330823446;-1.065748902;-1.209044764;-1.210253527;-1.22112723;-1.215675597;-1.167967722;-1.277218455;-1.018165375;-0.644302525;-0.049052054;1
-1.133536627;-1.107684252;-1.096244694;-0.965798584;-1.104709674;-1.120216379;-1.196016421;-1.10502813;1.852417363;-1.039163323;1.575787981;-1.309195873;-1.309195873;1.533047654;1.390746414;-1.365949929;-1.309195873;-1.106445394;-1.152240986;-1.104243708;-1.075915464;-1.157868864;-1.084061995;-1.147661216;-0.874476039;-0.856244145;-0.626135038;1
-1.174906074;-0.953087706;-1.164762733;-1.013429618;-1.183771029;-1.192639703;-1.258870924;-1.147386659;2.289208548;-1.088153383;1.693774885;-1.458382004;-1.458382004;1.650147931;1.491377688;-1.435139366;-1.458382004;-1.023232251;-1.16644193;-1.134532227;-1.179638154;-1.215675597;-1.167967722;-1.147661216;-0.924383291;-0.008477665;-0.049052054;1
-1.125262738;-0.953087706;-1.138409641;-1.061060651;-1.131063459;-1.10987019;-1.16458917;-1.083848865;2.010754168;-0.972124258;1.841138121;-1.184891026;-1.184891026;1.926235718;1.955916995;-1.518537348;-1.184891026;-1.003084864;-1.081236262;-1.119387968;-1.138149078;-1.100062131;-1.126014859;-0.758989496;-1.107036216;-0.432360905;-0.049052054;1
-1.116988849;-0.953087706;-1.112056549;-1.061060651;-1.120521945;-1.130562568;-1.180302796;-1.041490336;2.534145272;-0.813212015;1.399275826;-1.298975249;-1.298975249;1.294809832;1.078805139;-1.258180206;-1.298975249;-1.135525595;-1.052834373;-1.134532227;-1.055170926;-1.042255398;-0.916250541;-1.018103976;-1.118845285;0.415405575;-0.626135038;1
-1.083893292;-0.334701522;-1.090974076;-1.061060651;-1.097681998;-1.099524001;-1.148875545;-1.126207394;0.32842562;-1.277688384;1.099205163;-1.274921447;-1.274921447;0.896545564;0.574078235;-1.062235257;-1.274921447;-1.078585481;-1.095437207;-1.089099448;-1.075915464;-1.071158764;-1.126014859;-0.888546736;-1.129998122;-0.220419285;-0.626135038;1
-1.208001631;-0.953087706;-1.164762733;-1.013429618;-1.178500272;-1.202985892;-1.321725426;-1.253282982;0.934063897;-1.504089032;1.556235865;-1.659920973;-1.659920973;1.371774295;0.9948821;-1.354268595;-1.659920973;-1.090812036;-1.138040041;-1.179965007;-1.158893616;-1.18677223;-1.167967722;-1.212439835;-1.173436731;-0.432360905;-0.626135038;1
-1.166632185;-1.107684252;-1.127868404;-0.965798584;-1.148632649;-1.140908757;-1.306011801;-1.253282982;-0.232350563;-1.630987595;0.61447563;-1.754454412;-1.754454412;-0.095964187;-1.10601089;-0.70671641;-1.754454412;-1.092793151;-1.123839096;-1.073955188;-1.055170926;-0.839931832;-1.000156268;-0.629432256;-1.138033487;-0.644302525;-0.626135038;1
-1.158358295;-0.953087706;-1.148950878;-1.013429618;-1.127549621;-1.182293514;-1.243157298;-1.168565923;1.316115283;-1.250169246;1.48118097;-1.448370769;-1.448370769;1.352030937;1.086194215;-1.308841187;-1.448370769;-1.173353502;-1.123839096;-1.210253527;-1.200382692;-1.18677223;-1.167967722;-1.018103976;-1.214724532;-0.220419285;0.528030931;1
-1.158358295;-0.953087706;-1.170033351;-1.108691684;-1.167958758;-1.151254946;-1.258870924;-1.189745188;0.881965981;-1.350778847;1.213127772;-1.532928724;-1.532928724;0.932032707;0.469140806;-1.138613207;-1.532928724;-0.939037177;-1.180642875;-1.149676487;-1.096660002;-1.071158764;-1.167967722;-1.147661216;-1.143460652;0.203463955;-0.049052054;1
-1.067345513;-1.107684252;-1.043538511;-0.965798584;-1.062543618;-1.016754488;-1.101734668;-1.041490336;1.305778395;-0.972500032;1.366301028;-1.116185776;-1.116185776;1.31335079;1.174694493;-1.23745526;-1.116185776;-1.098541817;-1.010231538;-0.998233889;-1.01368185;-1.042255398;-1.167967722;-0.888546736;-0.961590084;-0.432360905;-0.626135038;1
-1.158358295;-1.107684252;-1.148950878;-1.013429618;-1.136334216;-1.151254946;-1.227443673;-1.210924452;0.447816678;-1.451388449;1.749234167;-1.363812813;-1.363812813;1.756753073;1.674155359;-1.466910026;-1.363812813;-1.147098366;-1.152240986;-1.104243708;-1.075915464;-1.128965497;-0.958203404;-1.212439835;-1.248867168;-0.856244145;-0.626135038;1
-1.166632185;-0.953087706;-1.096244694;-0.822905485;-1.113494269;-1.182293514;-1.243157298;-1.147386659;2.010754168;-1.119624181;1.722428848;-1.410631604;-1.410631604;1.705632952;1.587031314;-1.451613041;-1.410631604;-1.092007162;-1.209044764;-1.195109267;-1.055170926;-1.18677223;-1.126014859;-1.212439835;-1.189067577;-0.644302525;-0.626135038;1
-1.067345513;-1.107684252;-1.090974076;-1.013429618;-1.078355889;-1.058139245;-1.133161919;-1.10502813;0.344447797;-1.231808611;0.97060345;-1.261477431;-1.261477431;0.728937988;0.368590271;-0.972907412;-1.261477431;-0.709926978;-1.038633428;-0.967945369;-1.055170926;-0.984448664;-0.916250541;-0.694210876;-1.121508226;-0.432360905;-0.626135038;1
-1.133536627;0.129088116;-1.117327168;-1.061060651;-1.102952755;-1.151254946;-1.196016421;-1.232103717;-0.522634704;-1.615574068;1.575787981;-1.309195873;-1.309195873;1.533047654;1.390746414;-1.365949929;-1.309195873;-1.019503298;-1.109638151;-1.195109267;-1.075915464;-1.100062131;-1.042109131;-1.082882596;-1.017432559;-0.432360905;-0.626135038;1
-1.116988849;-1.107684252;-1.148950878;-1.061060651;-1.153903406;-1.171947324;-1.227443673;-1.147386659;0.664891329;-1.28002081;0.706805065;-1.534374635;-1.534374635;0.209372632;-0.47940443;-0.778545728;-1.534374635;-0.9752688;-1.123839096;-1.210253527;-1.200382692;-1.18677223;-1.209920586;-1.147661216;-1.190711775;-0.644302525;-0.626135038;1
-1.208001631;-1.262280798;-1.133139023;-0.775274451;-1.145118811;-1.192639703;-1.290298175;-1.210924452;2.010754168;-1.28002081;2.221007795;-1.471601465;-1.471601465;2.404802742;2.564536921;-1.719310268;-1.471601465;-1.04224725;-1.209044764;-1.195109267;-1.200382692;-1.100062131;-1.209920586;-1.082882596;-0.942629482;-0.644302525;-0.626135038;1
-1.083893292;-1.107684252;-1.096244694;-0.918167551;-1.078355889;-1.099524001;-1.180302796;-1.147386659;-0.00804009;-1.366259126;0.683722706;-1.42380109;-1.42380109;0.248855182;-0.33957778;-0.760781488;-1.42380109;-0.930638763;-1.067035317;-1.119387968;-1.11740454;-1.042255398;-0.832344813;-0.953325356;-0.961176238;-0.432360905;-0.626135038;1
-1.183179963;-1.262280798;-1.191115824;-1.108691684;-1.187284867;-1.161601135;-1.274584549;-1.274462246;-0.296439269;-1.690185063;1.663074211;-1.507120449;-1.507120449;1.589738646;1.385963313;-1.417347796;-1.507120449;-1.059374905;-1.152240986;-1.164820747;-1.158893616;-1.100062131;-1.126014859;-1.018103976;-1.181331032;-0.644302525;-0.626135038;1
-1.174906074;-1.107684252;-1.159492114;-1.108691684;-1.14687573;-1.120216379;-1.258870924;-1.189745188;1.36102728;-1.296195504;1.693774885;-1.458382004;-1.458382004;1.650147931;1.491377688;-1.435139366;-1.458382004;-0.969658953;-1.109638151;-1.089099448;-1.096660002;-1.215675597;-1.126014859;-1.018103976;-1.170417362;-0.008477665;-0.626135038;1
-1.174906074;-1.107684252;-1.122597786;-1.013429618;-1.12930654;-1.151254946;-1.227443673;-1.189745188;1.36102728;-1.296195504;2.266854135;-1.283531731;-1.283531731;2.491202394;2.715857357;-1.742255745;-1.283531731;-1.096495802;-1.152240986;-1.149676487;-1.200382692;-1.128965497;-1.209920586;-1.277218455;-1.222503123;-0.432360905;-0.049052054;1
-1.158358295;-1.107684252;-1.090974076;-0.822905485;-1.080112808;-1.161601135;-1.258870924;-1.147386659;1.750264586;-1.149559644;1.213127772;-1.532928724;-1.532928724;0.932032707;0.469140806;-1.138613207;-1.532928724;-1.184305572;-1.19484382;-1.134532227;-1.138149078;-1.157868864;-0.958203404;-1.147661216;-1.228344075;-0.432360905;0.528030931;1
-1.108714959;-1.107684252;-1.164762733;-1.108691684;-1.162688001;-1.058139245;-1.16458917;-1.147386659;0.483017973;-1.302885979;1.430468202;-1.254672649;-1.254672649;1.352944325;1.173559899;-1.277609844;-1.254672649;-1.159341488;-0.981829649;-1.073955188;-1.034426388;-1.128965497;-1.126014859;-1.018103976;-1.046927921;-0.220419285;-0.626135038;1
